日期,指数涨跌幅(%),浦发银行,民生银行,宝钢股份,中国石化,南方航空,中信证券,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,绿地控股,青岛海尔,三安光电,伊利股份,大秦铁路,中国神华,兴业银行,北京银行,中国铁建,农业银行,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,光大银行,中国石油,中国国旅,建设银行,中国银行,中国重工,PC1,PC2,PC3,PC4,PC5,PC5,PC7
2012/7/31,-4.09,-5.7811,0.3339,-2.7778,-3.9683,-4.6802,-3.2462,-9.1575,0.5291,-3.5375,-8.334,6.2076,-0.209,-1.8727,-4.1459,4.6669,2.0097,-2.4966,-15.4822,-4.6075,-4.1881,-8.6492,-10.5094,-1.379,-3.8521,-5.201,7.4109,-2.7027,-2.7391,-3.5242,0.3663,-5.0633,-2.2092,2.459,-6.5868,-10.6667,-4.6427,-2.1127,-2.0994,-0.2126,-5.4762,-3.1915,-10.79,-3.23E-02,-3.30E+00,-9.88E-01,-1.10E+00,-2.66E-01,-6.52E-01,2.42E-01
2012/8/31,-4.74,-0.6527,-0.6656,3.8095,-0.1653,-17.3397,-13.3698,1.6129,-17.4561,6.1798,-11.3281,0,4.8168,-4.1221,-3.5179,-10.8262,0.0896,-10.0346,-3.1746,-6.5295,14.3405,7.0213,1.1824,-3.2476,-1.3622,-2.7815,-9.188,-1.5873,-12.1835,-1.3699,-2.7668,1.8667,-9.8202,-4.8533,-2.8846,-8.742,-4.3165,-0.3597,-0.5643,-3.5156,1.2594,1.8315,3.8877,-3.88E-01,-3.32E+00,-6.64E-01,-6.13E-01,-1.63E-01,-3.22E-01,2.98E-01
2012/9/30,4.16,-3.0223,-2.921,5.0459,0.8141,-2.0115,15.362,0.7937,14.3464,-2.381,19.2952,-2.3744,0.9324,10.1911,6.5152,11.8493,24.4259,22.9231,-8.1967,8.4211,2.6828,5.8648,1.8364,7.2727,-2.437,-6.4033,7.7647,-0.8065,8.3537,-1.3889,2.439,-1.8325,3.4254,5.9417,1.3201,12.6168,3.0075,-3.9711,1.3699,4.1958,-0.995,-2.8777,-1.2474,-1.45E-01,-2.72E+00,-1.03E+00,-4.32E-01,5.65E-01,1.18E-01,3.06E-01
2012/10/31,-1.69,1.7615,6.5487,1.0917,4.0067,6.7449,-7.6336,-0.7874,3.2528,-3.794,-4.2836,-4.7708,-0.8578,-1.0838,16.6667,0.6265,-10.9779,3.1289,-2.6786,0.2648,-11.0385,1.831,-0.9836,-0.0435,3.2473,-0.1456,9.607,1.626,-7.4869,-0.939,7.5397,1.8667,-11.3693,-8.1481,-0.9772,-3.9419,8.7591,0.3759,-1.139,7.5238,3.7688,1.1111,-5.4737,-6.77E-02,-1.81E+00,-3.79E-01,-1.05E+00,1.73E+00,2.13E-01,-1.04E-01
2012/11/30,-2.6,-0.6658,4.485,0.8639,-3.3708,-7.967,-8.0808,-0.5952,3.2403,-10.7042,8.5648,-9.332,-7.2879,-5.1132,5.1948,-12.6668,-0.7539,0,-11.3761,-1.7606,-6.2408,-8.3449,4.3046,-5.5217,2.0968,4.9563,7.3705,4,-5.9794,0.237,5.5351,1.5707,-6.3023,1.6705,2.6316,-18.0346,6.9351,-3.3708,-2.4194,-15.0788,0.9685,1.0989,-10.245,6.69E-02,-2.05E+00,-1.94E-01,-1.22E+00,1.25E+00,-4.06E-02,1.22E-01
2012/12/31,19.91,32.9759,24.9603,4.7109,14.9502,16.7164,33.4665,37.2255,18.5702,10.4101,25.3731,13.6511,8.0402,20.1694,29.0809,-3.236,3.5269,11.9539,28.5714,20.0717,7.1261,10.5634,7.3016,16.659,31.8325,29.1667,8.9054,7.6923,24.1502,16.7849,6.2937,6.9588,33.9286,21.2465,25,29.1173,3.7657,18.2171,6.7296,6.0735,10.3118,5.7971,18.3623,3.82E-01,-1.82E+00,1.04E-01,-3.14E-01,1.25E+00,1.31E+00,1.14E+00
2013/1/31,7.12,15.7258,31.1705,2.454,2.1676,7.6726,13.6228,4,-2.7941,2.8571,-4.3084,4.3851,8.4718,6.278,-8.0057,-14.4101,-2.0964,8.5637,3.5427,4.1791,-10.4532,16.5605,6.3609,-3.1558,19.3529,9.2473,-0.6814,10,6.4694,9.3117,4.6053,6.0241,-3.7778,-3.6916,-6.4103,7.0408,-2.2177,14.0984,2.4336,1.787,8.0435,6.8493,3.5639,1.18E+00,-1.31E+00,-1.40E+00,2.13E+00,1.69E+00,-1.14E+00,4.69E-01
2013/2/28,-1.61,-3.6585,0.485,0,2.2631,-9.7387,-3.4914,-6.993,-3.0257,-1.1111,-0.237,5.9361,0.9188,4.1591,-0.9626,-2.18,-5.5139,-3.1952,-1.5552,-5.5874,9.2245,7.6112,9.1794,-6.5173,-0.251,-4.9213,-3.0875,-2.5974,-2.3849,-6.8519,-3.4591,-4.3182,-6.6051,-8.2969,6.5753,5.9104,-1.2371,-1.4368,-2.2678,4.837,-5.2314,-3.5256,9.7166,1.61E-02,-1.82E+00,5.84E-01,-3.66E-01,1.30E+00,-6.58E-01,-1.38E+00
2013/3/31,-8.24,-8.4087,-6.9498,-5.5888,2.213,-3.4211,-16.9283,-5.0376,-10.4524,-0.8427,-12.114,4.3103,2.003,5.2662,-5.2488,-3.5086,-6.7989,-12.0681,-13.1122,-3.4143,1.719,14.9075,-5.0955,-5.098,-12.9341,-8.6957,-10.2655,-10,-11.2598,-6.3618,-8.7948,-3.8005,-9.545,-9.2593,-13.3676,-14.4914,-14.6138,-6.1224,-3.9779,12.7136,-2.7601,-2.99,-9.4096,2.30E-01,-1.79E+00,-9.87E-01,2.34E+00,8.44E-01,-9.19E-01,1.29E+00
2013/4/26,-1.51,-2.4679,1.8672,1.4799,-8.931,-5.9946,2.0542,-3.8005,1.3066,1.1331,0.6757,-3.2231,-9.3127,2.199,5.4575,3.038,-2.3404,3.2845,-3.2727,0.707,3.4533,-7.702,-5.3691,-5.9229,4.9711,-0.3401,1.3807,-0.3704,-4.6924,-1.6985,-0.3571,0,2.5697,-2.2741,2.0772,1.4737,-2.6895,-6.8323,-2.4166,-6.5191,1.5284,-1.7123,-14.664,3.11E-01,-1.97E+00,-8.05E-01,3.17E-01,1.20E+00,-7.37E-01,2.05E-01
2013/5/31,4.3,5.9717,6.5173,-0.2083,0.1486,0.8696,4.5894,11.7695,7.2227,5.3221,4.8993,6.3194,2.8215,-1.6162,31.3619,13.2824,0,-4.0318,16.5414,-1.092,34.9432,-3.5012,0.2837,-0.0488,2.0925,3.5267,-0.1946,1.487,0.2411,1.7279,2.1505,3.2099,-0.7996,-0.716,9.593,8.61,10.5528,4.3333,0.4717,6.0391,3.2258,2.7875,7.8759,-2.16E-01,-3.21E+00,-9.59E-01,-4.40E-01,2.86E-02,-3.37E-01,4.87E-01
2013/6/30,-14.11,-16.5323,-16.5609,-15.3256,-16.7414,-18.9655,-22.0169,-10.2888,-19.0359,-17.0213,-15.483,-15.8233,-7.2519,-9.029,-2.9669,0.8096,0,-19.4605,-14.6774,-11.2927,3.3684,11.9542,-11.0184,-17.2852,-20.3344,-12.4176,-18.1287,-3.8828,-12.2444,-13.5881,-14.386,2.3769,-14.4009,-16.9585,-13.2626,-21.8399,-18.1818,-5.8454,-9.2952,-9.7093,-8.036,-2.4567,0,-3.99E-01,-3.49E+00,-4.25E-01,4.67E-01,-7.37E-01,7.05E-01,1.74E+00
2013/7/31,-1.9,-5.0725,-3.3839,1.7812,4.7847,-7.494,5.1333,-8.6207,2.8254,2.2727,-3.0299,9.0649,26.8968,-1.9975,2.2127,-12.4084,-32.7807,8.0717,0,3.9413,1.8958,10.4859,1.8519,0.0275,-4.1638,-2.9994,18.5876,-0.4065,-7.71,-1.8578,14.3443,-3.2338,4.8162,-3.141,1.2717,5.9553,14.2779,-7.9585,6.1761,3.0479,3.3735,-1.845,0,3.97E-01,-3.23E+00,-7.50E-01,-8.03E-01,-3.69E-01,-2.15E-01,9.17E-01
2013/8/30,5.86,14.3766,9.058,7.5,0.6849,10.5469,6.4396,0.566,2.4534,2.8571,6.6993,2.9808,-4.3049,7.5159,10.6434,0.1662,14.658,4.7026,0,13.2275,-1.7677,1.1285,12.562,3.625,17.2185,7.9019,-4.5267,0.8163,8.6658,4.7872,-2.9323,0.2571,5.8752,4.5249,0,3.0445,-0.2494,1.8797,-3.0941,24.0279,-0.9324,-0.3759,0,3.68E-01,-2.86E+00,-8.30E-01,-3.64E-01,2.53E-02,1.64E-01,9.95E-01
